שם תחנה,מספר תחנה,תאריך,סוג קרינה(),05-06 LST(kJ/m²),06-07 LST(kJ/m²),07-08 LST(kJ/m²),08-09 LST(kJ/m²),09-10 LST(kJ/m²),10-11 LST(kJ/m²),11-12 LST(kJ/m²),12-13 LST(kJ/m²),13-14 LST(kJ/m²),14-15 LST(kJ/m²),15-16 LST(kJ/m²),16-17 LST(kJ/m²),17-18 LST(kJ/m²),18-19 LST(kJ/m²)
בית דגן קרינה                                     ,2524,03-02-2020,מפוזרת,0,25.2,165.6,417.6,482.4,486,680.4,615.6,831.6,730.8,489.6,198,0,0
בית דגן קרינה                                     ,2524,03-02-2020,גלובאלית,0,36,475.2,1047.6,1807.2,2235.6,2300.4,2314.8,1562.4,1116,568.8,244.8,0,0
בית דגן קרינה                                     ,2524,03-02-2020,ישירה,0,79.2,1526.4,1558.8,2422.8,2768.4,2260.8,2458.8,1029.6,680.4,126,208.8,0,0
בית דגן קרינה                                     ,2524,04-02-2020,ישירה,0,21.6,151.2,2048.4,2649.6,1652.4,1407.6,2700,1533.6,1814.4,1778.4,396,0,0
בית דגן קרינה                                     ,2524,04-02-2020,מפוזרת,0,21.6,205.2,302.4,356.4,694.8,748.8,504,792,676.8,309.6,183.6,0,0
בית דגן קרינה                                     ,2524,04-02-2020,גלובאלית,0,36,295.2,1148.4,1767.6,1771.2,1792.8,2343.6,1890,1663.2,964.8,270,0,0
בית דגן קרינה                                     ,2524,05-02-2020,מפוזרת,0,25.2,183.6,313.2,363.6,417.6,511.2,604.8,435.6,360,259.2,118.8,0,0
בית דגן קרינה                                     ,2524,05-02-2020,גלובאלית,0,39.6,493.2,1137.6,1800,2224.8,2401.2,2221.2,2113.2,1677.6,1040.4,327.6,0,0
בית דגן קרינה                                     ,2524,05-02-2020,ישירה,0,151.2,1497.6,2113.2,2707.2,2858.4,2750.4,2286,2689.2,2599.2,2228.4,1116,0,0
בית דגן קרינה                                     ,2524,06-02-2020,מפוזרת,0,25.2,136.8,183.6,205.2,230.4,262.8,302.4,417.6,453.6,399.6,190.8,0,0
בית דגן קרינה                                     ,2524,06-02-2020,גלובאלית,0,43.2,583.2,1278,1915.2,2350.8,2566.8,2523.6,2152.8,1760.4,1040.4,313.2,0,0
בית דגן קרינה                                     ,2524,06-02-2020,ישירה,0,226.8,2016,2880,3272.4,3409.2,3409.2,3276,2703.6,2426.4,1569.6,417.6,0,0
בית דגן קרינה                                     ,2524,07-02-2020,ישירה,0,0,0,0,3.6,0,7.2,10.8,1717.2,1918.8,946.8,205.2,0,0
בית דגן קרינה                                     ,2524,07-02-2020,מפוזרת,0,3.6,39.6,180,252,234,399.6,637.2,687.6,442.8,410.4,172.8,0,0
בית דגן קרינה                                     ,2524,07-02-2020,גלובאלית,0,7.2,43.2,194.4,266.4,248.4,428.4,691.2,1951.2,1504.8,824.4,230.4,0,0
בית דגן קרינה                                     ,2524,08-02-2020,ישירה,0,7.2,3.6,558,860.4,1155.6,925.2,252,756,1386,709.2,230.4,0,0
בית דגן קרינה                                     ,2524,08-02-2020,מפוזרת,0,14.4,108,439.2,691.2,882,572.4,936,867.6,720,428.4,140.4,0,0
בית דגן קרינה                                     ,2524,08-02-2020,גלובאלית,0,18,111.6,741.6,1382.4,1713.6,1292.4,1227.6,1450.8,1544.4,752.4,187.2,0,0
בית דגן קרינה                                     ,2524,09-02-2020,ישירה,0,0,0,122.4,3.6,79.2,10.8,0,0,0,3.6,0,0,0
בית דגן קרינה                                     ,2524,09-02-2020,מפוזרת,0,18,97.2,615.6,504,885.6,536.4,367.2,349.2,216,248.4,93.6,3.6,0
בית דגן קרינה                                     ,2524,09-02-2020,גלובאלית,0,21.6,104.4,738,536.4,1015.2,576,385.2,367.2,226.8,262.8,100.8,3.6,0
בית דגן קרינה                                     ,2524,10-02-2020,ישירה,0,0,18,590.4,0,28.8,0,2008.8,50.4,320.4,630,424.8,0,0
בית דגן קרינה                                     ,2524,10-02-2020,מפוזרת,0,28.8,129.6,464.4,439.2,946.8,734.4,817.2,795.6,633.6,399.6,208.8,0,0
בית דגן קרינה                                     ,2524,10-02-2020,גלובאלית,0,32.4,140.4,792,468,1062,781.2,2304,896.4,892.8,734.4,288,0,0
בית דגן קרינה                                     ,2524,11-02-2020,מפוזרת,0,43.2,266.4,388.8,367.2,540,950.4,939.6,273.6,270,302.4,194.4,0,0
בית דגן קרינה                                     ,2524,11-02-2020,גלובאלית,0,68.4,356.4,1173.6,1947.6,2314.8,1105.2,1166.4,291.6,295.2,378,237.6,0,0
בית דגן קרינה                                     ,2524,11-02-2020,ישירה,0,82.8,252,1749.6,2815.2,2692.8,97.2,180,0,3.6,129.6,93.6,0,0
בית דגן קרינה                                     ,2524,12-02-2020,ישירה,0,3.6,7.2,554.4,1756.8,939.6,3031.2,3056.4,3189.6,3056.4,2674.8,1465.2,0,0
בית דגן קרינה                                     ,2524,12-02-2020,מפוזרת,0,21.6,237.6,662.4,662.4,1234.8,486,399.6,298.8,255.6,208.8,126,0,0
בית דגן קרינה                                     ,2524,12-02-2020,גלובאלית,0,25.2,255.6,1008,1778.4,2102.4,2653.2,2577.6,2340,1861.2,1198.8,428.4,0,0
בית דגן קרינה                                     ,2524,13-02-2020,ישירה,0,36,1062,2347.2,2840.4,3063.6,3135.6,3160.8,3052.8,2865.6,2451.6,1360.8,0,0
בית דגן קרינה                                     ,2524,13-02-2020,מפוזרת,0,39.6,198,270,320.4,338.4,352.8,342,334.8,295.2,241.2,129.6,0,0
בית דגן קרינה                                     ,2524,13-02-2020,גלובאלית,0,54,522,1245.6,1915.2,2372.4,2588.4,2581.2,2318.4,1832.4,1177.2,417.6,0,0
בית דגן קרינה                                     ,2524,14-02-2020,ישירה,0,46.8,1180.8,2106,2448,885.6,579.6,777.6,118.8,36,0,0,0,0
בית דגן קרינה                                     ,2524,14-02-2020,מפוזרת,0,50.4,295.2,342,496.8,1058.4,1267.2,1191.6,903.6,716.4,291.6,72,0,0
בית דגן קרינה                                     ,2524,14-02-2020,גלובאלית,0,61.2,597.6,1238.4,1904.4,1803.6,1843.2,1911.6,1065.6,792,306,75.6,0,0
בית דגן קרינה                                     ,2524,15-02-2020,מפוזרת,0,39.6,198,406.8,338.4,320.4,356.4,352.8,345.6,320.4,262.8,147.6,0,0
בית דגן קרינה                                     ,2524,15-02-2020,גלובאלית,0,72,691.2,1350,1951.2,2404.8,2620.8,2606.4,2325.6,1836,1184.4,428.4,0,0
בית דגן קרינה                                     ,2524,15-02-2020,ישירה,0,212.4,1861.2,2185.2,2826,3124.8,3150,3160.8,3027.6,2786.4,2368.8,1249.2,0,0
